file	classification	reason	first_marker
docs/faz7r/evidence/FAZ_7R_316_PANEL_PIX2PI_ALTYAPISI_FIX_V2_REAL_IMPLEMENTATION_AUDIT.md	OLD_PASS_NO_FORBIDDEN_MARKER_FOUND	PASS evidence has no forbidden marker by scanner	-
docs/faz7r/evidence/FAZ_7R_316_PANEL_PIX2PI_ALTYAPISI_FIX_V3_REAL_IMPLEMENTATION_AUDIT.md	OLD_PASS_NO_FORBIDDEN_MARKER_FOUND	PASS evidence has no forbidden marker by scanner	-
docs/faz7r/evidence/FAZ_7R_316_PANEL_PIX2PI_ALTYAPISI_REAL_IMPLEMENTATION_AUDIT.md	OLD_PASS_NO_FORBIDDEN_MARKER_FOUND	PASS evidence has no forbidden marker by scanner	-
docs/faz7r/evidence/FAZ_7R_317_2_JWT_LOGIN_BAGLANTISI_REAL_IMPLEMENTATION_AUDIT.md	OLD_PASS_NO_FORBIDDEN_MARKER_FOUND	PASS evidence has no forbidden marker by scanner	-
docs/faz7r/evidence/FAZ_7R_317_LOGIN_TENANT_SECIMI_REAL_IMPLEMENTATION_AUDIT.md	OLD_PASS_NO_FORBIDDEN_MARKER_FOUND	PASS evidence has no forbidden marker by scanner	-
docs/faz7r/evidence/FAZ_7R_318_FIX_V2_AHMED_HUSREV_HAT_REFERANSI_REAL_IMPLEMENTATION_AUDIT.md	OLD_PASS_NO_FORBIDDEN_MARKER_FOUND	PASS evidence has no forbidden marker by scanner	-
docs/faz7r/evidence/FAZ_7R_318_I18N_ALFABE_ALTYAPISI_REAL_IMPLEMENTATION_AUDIT.md	OLD_PASS_NO_FORBIDDEN_MARKER_FOUND	PASS evidence has no forbidden marker by scanner	-
docs/faz7r/evidence/FAZ_7R_319_ISLETME_ONBOARDING_EKRANI_REAL_IMPLEMENTATION_AUDIT.md	OLD_PASS_NO_FORBIDDEN_MARKER_FOUND	PASS evidence has no forbidden marker by scanner	-
docs/faz7r/evidence/FAZ_7R_320_MERCHANT_DASHBOARD_REAL_IMPLEMENTATION_AUDIT.md	INVALID_PARTIAL_PASS	PASS evidence contains forbidden partial/dry-run/disabled marker	71:320.7 alert preview marker IMPLEMENTED_OR_PRESENT / OK ✅
docs/faz7r/evidence/FAZ_7R_321_KULLANICI_ROL_PERSONEL_EKRANI_REAL_IMPLEMENTATION_AUDIT.md	INVALID_PARTIAL_PASS	PASS evidence contains forbidden partial/dry-run/disabled marker	90:321.6 Permission matrix preview aggregate gate IMPLEMENTED_OR_PRESENT / OK ✅
docs/faz7r/evidence/FAZ_7R_322_ISLETME_AYARLARI_PROFIL_EKRANI_REAL_IMPLEMENTATION_AUDIT.md	INVALID_PARTIAL_PASS	PASS evidence contains forbidden partial/dry-run/disabled marker	70:322.6 brand logo placeholder marker IMPLEMENTED_OR_PRESENT / OK ✅
docs/faz7r/evidence/FAZ_7R_323_CARI_EKRANI_REAL_IMPLEMENTATION_AUDIT.md	INVALID_PARTIAL_PASS	PASS evidence contains forbidden partial/dry-run/disabled marker	84:323.11 import export placeholder marker IMPLEMENTED_OR_PRESENT / OK ✅
docs/faz7r/evidence/FAZ_7R_324_FIX_V2_SYNTAX_CLOSURE_REAL_IMPLEMENTATION_AUDIT.md	INVALID_PARTIAL_PASS	PASS evidence contains forbidden partial/dry-run/disabled marker	61:324.11 auto spare part placeholder marker IMPLEMENTED_OR_PRESENT / OK ✅
docs/faz7r/evidence/FAZ_7R_325_SATIS_POS_YONETIM_EKRANI_REAL_IMPLEMENTATION_AUDIT.md	INVALID_PARTIAL_PASS	PASS evidence contains forbidden partial/dry-run/disabled marker	74:325.9 shift policy placeholder marker IMPLEMENTED_OR_PRESENT / OK ✅
docs/faz7r/evidence/FAZ_7R_326_FATURA_BELGE_EKRANI_REAL_IMPLEMENTATION_AUDIT.md	INVALID_PARTIAL_PASS	PASS evidence contains forbidden partial/dry-run/disabled marker	56:326 config provider live disabled IMPLEMENTED_OR_PRESENT / OK ✅
