rank	queryid	calls	total_exec_time_ms	mean_exec_time_ms	max_exec_time_ms	rows	shared_blks_hit	shared_blks_read	temp_blks_read	temp_blks_written	blk_read_time_ms	blk_write_time_ms
1	-6987234975875304399	1	39.270	39.270	39.270	0	2674	120	0	0	22.150	0.156
2	-5928632893584753297	4	5.628	1.407	1.538	4	350	18	0	0	0.329	0.000
3	2276479326602620200	1	2.406	2.406	2.406	1	336	41	0	0	1.305	0.000
4	-2730599479412786229	1	1.714	1.714	1.714	1	298	0	0	0	0.000	0.000
5	2018666723860642551	1	1.521	1.521	1.521	1	376	0	0	0	0.000	0.000
6	8726154295011963510	1	1.434	1.434	1.434	1	377	0	0	0	0.000	0.000
7	2853743510407522626	1	1.391	1.391	1.391	1	1650	1	0	0	0.035	0.000
8	-8246967470819171842	1	1.133	1.133	1.133	1	377	0	0	0	0.000	0.000
9	-3497250238444366290	1	1.132	1.132	1.132	1	377	0	0	0	0.000	0.000
10	-3100822736588429461	7	1.034	0.148	0.210	7	1	0	0	0	0.000	0.000
11	-5787451492556300570	5	0.960	0.192	0.214	5	5	0	0	0	0.000	0.000
12	503665720034892342	5	0.933	0.187	0.224	5	0	0	0	0	0.000	0.000
13	9188279497416441164	6	0.873	0.145	0.207	6	4	0	0	0	0.000	0.000
14	-3423145815761774236	4	0.837	0.209	0.276	4	0	0	0	0	0.000	0.000
15	7011376425488726863	4	0.820	0.205	0.229	4	0	0	0	0	0.000	0.000
16	5758326439869321272	4	0.770	0.192	0.218	4	0	0	0	0	0.000	0.000
17	-8739581380267405373	4	0.763	0.191	0.242	4	0	0	0	0	0.000	0.000
18	221713427865965554	4	0.748	0.187	0.214	4	0	0	0	0	0.000	0.000
19	2118759099915048032	4	0.692	0.173	0.176	4	0	0	0	0	0.000	0.000
20	4748106482461135140	4	0.655	0.164	0.179	4	0	0	0	0	0.000	0.000
21	4566199535354688152	1	0.581	0.581	0.581	30	3	0	0	0	0.000	0.000
22	-2048908273384077823	2	0.551	0.275	0.293	2	0	0	0	0	0.000	0.000
23	-3228989312109599827	1	0.488	0.488	0.488	1	2	2	0	0	0.410	0.000
24	-5486433104362567146	5	0.457	0.091	0.194	5	21	0	0	0	0.000	0.000
25	2711466817716841384	2	0.432	0.216	0.236	2	0	0	0	0	0.000	0.000
26	7751536268161906642	2	0.401	0.200	0.201	2	0	0	0	0	0.000	0.000
27	-2053886439359915221	2	0.400	0.200	0.205	2	0	0	0	0	0.000	0.000
28	1714679345441452182	2	0.379	0.190	0.194	2	0	0	0	0	0.000	0.000
29	-2843982398427210503	2	0.371	0.185	0.187	2	0	0	0	0	0.000	0.000
30	-2591900526511475535	2	0.364	0.182	0.189	2	0	0	0	0	0.000	0.000
