rank	schemaname	table_name	index_name	idx_scan	idx_tup_read	idx_tup_fetch	index_size_bytes	is_primary	is_unique	usage_status
1	public	event_store_records_pg_test	event_store_records_pg_test_olusturma_tarihi_idx	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
2	public	audit_logs	idx_audit_logs_entity	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
3	public	audit_logs	idx_audit_logs_tenant_created	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
4	org	branches	idx_branches_tenant_entity_status	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
5	public	erp_runtime_flow_steps	idx_erp_runtime_flow_steps_tenant_flow	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
6	public	erp_runtime_flows	idx_erp_runtime_flows_correlation	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
7	public	erp_runtime_flows	idx_erp_runtime_flows_tenant_status	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
8	org	legal_entities	idx_legal_entities_tenant_status	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
9	runtime	api_key_usage	ix_api_key_usage_api_key_id	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
10	runtime	api_key_usage	ix_api_key_usage_policy_id	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
11	runtime	api_key_usage	ix_api_key_usage_tenant_id	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
12	runtime	api_key_usage	ix_api_key_usage_window	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
13	runtime	api_keys	ix_api_keys_expires_at	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
14	runtime	api_keys	ix_api_keys_status	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
15	runtime	api_keys	ix_api_keys_tenant_id	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
16	runtime	api_quota_policies	ix_api_quota_policies_api_key_id	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
17	runtime	api_quota_policies	ix_api_quota_policies_enabled	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
18	runtime	api_quota_policies	ix_api_quota_policies_tenant_id	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
19	runtime	dedupe_records	ix_dedupe_records_expires_at	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
20	runtime	dedupe_records	ix_dedupe_records_hash	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
21	runtime	dedupe_records	ix_dedupe_records_status	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
22	runtime	dedupe_records	ix_dedupe_records_tenant_id	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
23	public	erp_account_mapping_rules	ix_erp_account_mapping_rules_tenant_account	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
24	public	erp_account_mapping_rules	ix_erp_account_mapping_rules_tenant_event_line	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
25	public	erp_account_mapping_rules	ix_erp_account_mapping_rules_tenant_priority	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
26	public	erp_account_mapping_rules	ix_erp_account_mapping_rules_tenant_source	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
27	public	erp_account_mapping_rules	ix_erp_account_mapping_rules_tenant_vat	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
28	public	erp_account_movements	ix_erp_account_movements_tenant_cost_center	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
29	public	erp_account_movements	ix_erp_account_movements_tenant_customer	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
30	public	erp_account_movements	ix_erp_account_movements_tenant_fiscal	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
31	public	erp_account_movements	ix_erp_account_movements_tenant_item	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
32	public	erp_account_movements	ix_erp_account_movements_tenant_party	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
33	public	erp_account_movements	ix_erp_account_movements_tenant_source	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
34	public	erp_account_movements	ix_erp_account_movements_tenant_vendor	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
35	public	erp_bank_accounts	ix_erp_bank_accounts_tenant_account	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
36	public	erp_bank_accounts	ix_erp_bank_accounts_tenant_iban	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
37	public	erp_cash_accounts	ix_erp_cash_accounts_tenant_account	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
38	public	erp_chart_accounts	ix_erp_chart_accounts_tenant_active	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
39	public	erp_chart_accounts	ix_erp_chart_accounts_tenant_class_group	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
40	public	erp_chart_accounts	ix_erp_chart_accounts_tenant_parent	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
41	public	erp_chart_accounts	ix_erp_chart_accounts_tenant_postable	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
42	public	erp_chart_accounts	ix_erp_chart_accounts_tenant_type	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
43	public	erp_document_number_allocations	ix_erp_document_number_allocations_tenant_fiscal	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
44	public	erp_document_number_allocations	ix_erp_document_number_allocations_tenant_sequence	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
45	public	erp_document_number_allocations	ix_erp_document_number_allocations_tenant_source	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
46	public	erp_document_sequences	ix_erp_document_sequences_tenant_active	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
47	public	erp_document_sequences	ix_erp_document_sequences_tenant_module	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
48	public	erp_fiscal_periods	ix_erp_fiscal_periods_tenant_status	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
49	public	erp_fiscal_years	ix_erp_fiscal_years_tenant_status	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
50	public	erp_items	ix_erp_items_tenant_name	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
51	public	erp_items	ix_erp_items_tenant_status	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
52	public	erp_journal_entries	ix_erp_journal_entries_tenant_date	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
53	public	erp_journal_entries	ix_erp_journal_entries_tenant_fiscal	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
54	public	erp_journal_entries	ix_erp_journal_entries_tenant_posting_date	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
55	public	erp_journal_entries	ix_erp_journal_entries_tenant_source	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
56	public	erp_journal_entries	ix_erp_journal_entries_tenant_status	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
57	public	erp_journal_lines	ix_erp_journal_lines_tenant_account	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
58	public	erp_journal_lines	ix_erp_journal_lines_tenant_cost_center	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
59	public	erp_journal_lines	ix_erp_journal_lines_tenant_customer	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
60	public	erp_journal_lines	ix_erp_journal_lines_tenant_item	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
61	public	erp_journal_lines	ix_erp_journal_lines_tenant_party	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
62	public	erp_journal_lines	ix_erp_journal_lines_tenant_vendor	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
63	public	erp_ledger_balances	ix_erp_ledger_balances_tenant_account	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
64	public	erp_ledger_balances	ix_erp_ledger_balances_tenant_cost_center	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
65	public	erp_ledger_balances	ix_erp_ledger_balances_tenant_customer	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
66	public	erp_ledger_balances	ix_erp_ledger_balances_tenant_fiscal	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
67	public	erp_ledger_balances	ix_erp_ledger_balances_tenant_party	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
68	public	erp_ledger_balances	ix_erp_ledger_balances_tenant_vendor	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
69	public	erp_payment_transactions	ix_erp_payment_transactions_tenant_bank	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
