rank	schemaname	table_name	seq_scan	idx_scan	seq_tup_read	idx_tup_fetch	n_live_tup	n_dead_tup	scan_pattern
68	runtime	mission_control_actions	9	6	9	0	0	6	LOW_DATA_SEQ_SCAN_OBSERVE
6	public	erp_journal_entries	84	107	58	113	0	41	INDEX_USED
7	public	erp_account_movements	84	24	12	42	0	27	LOW_DATA_SEQ_SCAN_OBSERVE
8	public	erp_warehouse_balances	82	13	0	11	0	3	LOW_DATA_SEQ_SCAN_OBSERVE
1	public	erp_runtime_flows	816	286	824	177	1	33	LOW_DATA_SEQ_SCAN_OBSERVE
9	public	erp_tax_transactions	80	27	2	19	0	9	LOW_DATA_SEQ_SCAN_OBSERVE
69	org	legal_entities	8	14	8	12	0	9	INDEX_USED
70	runtime	dedupe_records	8	6	6	0	0	3	LOW_DATA_SEQ_SCAN_OBSERVE
71	runtime	idempotency_keys	8	6	6	0	0	3	LOW_DATA_SEQ_SCAN_OBSERVE
10	public	erp_stock_movements	78	14	0	12	0	5	LOW_DATA_SEQ_SCAN_OBSERVE
2	public	erp_runtime_flow_steps	718	14	4024	60	6	0	LOW_DATA_SEQ_SCAN_OBSERVE
72	public	event_store_records_pg_test	7	38	2	24	2	12	INDEX_USED
11	public	erp_products	69	8	0	6	0	2	LOW_DATA_SEQ_SCAN_OBSERVE
12	public	erp_sales_invoice_lines	67	9	0	9	0	5	LOW_DATA_SEQ_SCAN_OBSERVE
13	runtime	mission_control_incidents	65	24	9	12	0	6	LOW_DATA_SEQ_SCAN_OBSERVE
14	public	erp_sales_deliveries	62	19	0	17	0	5	LOW_DATA_SEQ_SCAN_OBSERVE
15	public	erp_sales_delivery_lines	61	10	0	10	0	5	LOW_DATA_SEQ_SCAN_OBSERVE
16	public	erp_sales_order_lines	61	17	0	17	0	7	LOW_DATA_SEQ_SCAN_OBSERVE
73	public	journal_lines	6	8	24	26	24	0	INDEX_USED
74	public	roles	6	7	10	5	2	2	INDEX_USED
75	public	erp_tax_codes	6	29	0	27	0	9	INDEX_USED
17	public	erp_payment_transactions	59	33	2	21	0	9	LOW_DATA_SEQ_SCAN_OBSERVE
18	public	erp_sales_invoices	56	48	0	26	0	9	LOW_DATA_SEQ_SCAN_OBSERVE
19	public	erp_items	53	85	9	82	0	31	INDEX_USED
20	public	erp_sales_quotation_lines	53	10	0	10	0	5	LOW_DATA_SEQ_SCAN_OBSERVE
21	public	erp_purchase_invoice_lines	52	10	0	10	0	6	LOW_DATA_SEQ_SCAN_OBSERVE
77	public	snapshots	5	13	7	11	3	1	INDEX_USED
78	public	org_nodes	5	0	3	0	1	0	LOW_DATA_SEQ_SCAN_OBSERVE
76	public	role_permissions	5	6	12	3	3	0	INDEX_USED
79	public	erp_bank_accounts	5	15	0	13	0	5	INDEX_USED
80	public	erp_document_sequences	5	44	0	38	0	17	INDEX_USED
81	public	erp_fiscal_periods	5	27	0	17	0	9	INDEX_USED
22	public	erp_sales_orders	49	28	0	26	0	7	LOW_DATA_SEQ_SCAN_OBSERVE
23	public	schema_migrations	48	4	41	4	1	0	LOW_DATA_SEQ_SCAN_OBSERVE
24	public	erp_purchase_invoices	48	40	0	30	0	8	LOW_DATA_SEQ_SCAN_OBSERVE
25	public	erp_purchase_receipts	47	22	0	20	0	6	LOW_DATA_SEQ_SCAN_OBSERVE
26	public	erp_purchase_receipt_lines	45	12	0	12	0	6	LOW_DATA_SEQ_SCAN_OBSERVE
27	public	erp_sales_quotations	43	19	0	17	0	5	LOW_DATA_SEQ_SCAN_OBSERVE
28	runtime	notification_channels	41	9	6	3	0	3	LOW_DATA_SEQ_SCAN_OBSERVE
82	public	cari_hesaplar	4	0	6	0	2	0	LOW_DATA_SEQ_SCAN_OBSERVE
83	public	erp_cash_accounts	4	26	0	24	0	11	INDEX_USED
85	public	erp_fiscal_years	4	18	0	11	0	5	INDEX_USED
86	public	erp_warehouses	4	45	0	43	0	18	INDEX_USED
84	platform	tenants	4	107	0	81	0	31	INDEX_USED
29	public	erp_customers	38	45	0	42	0	15	INDEX_USED
30	public	erp_purchase_order_lines	38	20	0	20	0	8	LOW_DATA_SEQ_SCAN_OBSERVE
31	public	erp_vendors	38	39	0	37	0	13	INDEX_USED
32	public	audit_logs	34	3	669	3	23	0	LOW_DATA_SEQ_SCAN_OBSERVE
33	runtime	notifications	34	9	6	3	0	3	LOW_DATA_SEQ_SCAN_OBSERVE
34	runtime	plugins	34	12	6	6	0	3	LOW_DATA_SEQ_SCAN_OBSERVE
35	public	erp_contacts	34	11	0	6	0	2	LOW_DATA_SEQ_SCAN_OBSERVE
36	runtime	api_keys	33	18	6	12	0	3	LOW_DATA_SEQ_SCAN_OBSERVE
37	public	erp_addresses	33	12	0	6	0	2	LOW_DATA_SEQ_SCAN_OBSERVE
38	public	erp_purchase_orders	32	32	0	30	0	8	INDEX_USED
40	runtime	notification_recipients	30	6	6	0	0	3	LOW_DATA_SEQ_SCAN_OBSERVE
39	runtime	webhook_deliveries	30	12	6	6	0	3	LOW_DATA_SEQ_SCAN_OBSERVE
87	org	entity_relations	3	1	2	2	0	2	LOW_DATA_SEQ_SCAN_OBSERVE
88	org	branches	3	2	0	0	0	8	LOW_DATA_SEQ_SCAN_OBSERVE
41	public	erp_document_number_allocations	29	17	6	13	0	9	LOW_DATA_SEQ_SCAN_OBSERVE
42	public	erp_parties	28	99	24	97	0	34	INDEX_USED
43	runtime	api_key_usage	27	6	6	0	0	3	LOW_DATA_SEQ_SCAN_OBSERVE
45	runtime	jobs	27	12	6	6	0	3	LOW_DATA_SEQ_SCAN_OBSERVE
44	runtime	workflow_instances	27	15	6	9	0	3	LOW_DATA_SEQ_SCAN_OBSERVE
