rank	schemaname	table_name	n_live_tup	n_dead_tup	dead_ratio_pct	last_vacuum	last_autovacuum	last_analyze	last_autoanalyze	vacuum_count	autovacuum_count	analyze_count	autoanalyze_count	vacuum_status
16	public	erp_document_number_allocations	0	9	100.00	NULL	NULL	NULL	NULL	0	0	0	0	DEAD_TUPLE_OBSERVE
17	public	erp_fiscal_periods	0	9	100.00	NULL	NULL	NULL	NULL	0	0	0	0	DEAD_TUPLE_OBSERVE
18	public	erp_payment_transactions	0	9	100.00	NULL	NULL	NULL	NULL	0	0	0	0	DEAD_TUPLE_OBSERVE
19	public	erp_sales_invoices	0	9	100.00	NULL	NULL	NULL	NULL	0	0	0	0	DEAD_TUPLE_OBSERVE
20	public	erp_tax_codes	0	9	100.00	NULL	NULL	NULL	NULL	0	0	0	0	DEAD_TUPLE_OBSERVE
21	public	erp_tax_transactions	0	9	100.00	NULL	NULL	NULL	NULL	0	0	0	0	DEAD_TUPLE_OBSERVE
22	org	legal_entities	0	9	100.00	NULL	NULL	NULL	NULL	0	0	0	0	DEAD_TUPLE_OBSERVE
23	runtime	service_registry_instances	0	9	100.00	NULL	NULL	NULL	NULL	0	0	0	0	DEAD_TUPLE_OBSERVE
24	runtime	service_registry_services	0	9	100.00	NULL	NULL	NULL	NULL	0	0	0	0	DEAD_TUPLE_OBSERVE
25	org	branches	0	8	100.00	NULL	NULL	NULL	NULL	0	0	0	0	DEAD_TUPLE_OBSERVE
26	public	erp_purchase_invoices	0	8	100.00	NULL	NULL	NULL	NULL	0	0	0	0	DEAD_TUPLE_OBSERVE
27	public	erp_purchase_order_lines	0	8	100.00	NULL	NULL	NULL	NULL	0	0	0	0	DEAD_TUPLE_OBSERVE
28	public	erp_purchase_orders	0	8	100.00	NULL	NULL	NULL	NULL	0	0	0	0	DEAD_TUPLE_OBSERVE
29	public	erp_sales_order_lines	0	7	100.00	NULL	NULL	NULL	NULL	0	0	0	0	DEAD_TUPLE_OBSERVE
30	public	erp_sales_orders	0	7	100.00	NULL	NULL	NULL	NULL	0	0	0	0	DEAD_TUPLE_OBSERVE
31	public	erp_tax_rates	0	7	100.00	NULL	NULL	NULL	NULL	0	0	0	0	DEAD_TUPLE_OBSERVE
32	public	erp_product_categories	0	6	100.00	NULL	NULL	NULL	NULL	0	0	0	0	DEAD_TUPLE_OBSERVE
33	public	erp_purchase_invoice_lines	0	6	100.00	NULL	NULL	NULL	NULL	0	0	0	0	DEAD_TUPLE_OBSERVE
34	public	erp_purchase_receipt_lines	0	6	100.00	NULL	NULL	NULL	NULL	0	0	0	0	DEAD_TUPLE_OBSERVE
35	public	erp_purchase_receipts	0	6	100.00	NULL	NULL	NULL	NULL	0	0	0	0	DEAD_TUPLE_OBSERVE
36	runtime	mission_control_actions	0	6	100.00	NULL	NULL	NULL	NULL	0	0	0	0	DEAD_TUPLE_OBSERVE
37	runtime	mission_control_incidents	0	6	100.00	NULL	NULL	NULL	NULL	0	0	0	0	DEAD_TUPLE_OBSERVE
38	public	erp_account_mapping_rules	0	5	100.00	NULL	NULL	NULL	NULL	0	0	0	0	DEAD_TUPLE_OBSERVE
