object_type	object_name	contract_status
table	readmodel.daily_operational_metrics	FOUND
table	readmodel.document_work_queue	FOUND
table	readmodel.inventory_status_snapshot	FOUND
table	readmodel.projection_state	FOUND
table	readmodel.reconciliation_status_snapshot	FOUND
table	readmodel.tenant_operational_snapshot	FOUND
primary_key	readmodel.daily_operational_metrics.daily_operational_metrics_pkey	FOUND
primary_key	readmodel.document_work_queue.document_work_queue_pkey	FOUND
primary_key	readmodel.inventory_status_snapshot.inventory_status_snapshot_pkey	FOUND
primary_key	readmodel.projection_state.projection_state_pkey	FOUND
primary_key	readmodel.reconciliation_status_snapshot.reconciliation_status_snapshot_pkey	FOUND
primary_key	readmodel.tenant_operational_snapshot.tenant_operational_snapshot_pkey	FOUND
index	readmodel.daily_operational_metrics_pkey	FOUND
index	readmodel.document_work_queue_pkey	FOUND
index	readmodel.idx_daily_operational_metrics_date	FOUND
index	readmodel.idx_document_work_queue_source_module	FOUND
index	readmodel.idx_document_work_queue_status_priority	FOUND
index	readmodel.idx_inventory_status_alerts	FOUND
index	readmodel.idx_projection_state_status	FOUND
index	readmodel.idx_reconciliation_status_snapshot_status	FOUND
index	readmodel.idx_tenant_operational_snapshot_refreshed	FOUND
index	readmodel.inventory_status_snapshot_pkey	FOUND
index	readmodel.projection_state_pkey	FOUND
index	readmodel.reconciliation_status_snapshot_pkey	FOUND
index	readmodel.tenant_operational_snapshot_pkey	FOUND
