netid	local_address	port	previous_expected_service	bind_scope	port_policy	recommended_surface	risk	note
tcp	0.0.0.0:6379	6379	redis	public_or_all_interfaces	internal_should_not_public	private_network_or_loopback_or_reverse_proxy	HIGH	evidence_only_no_firewall_change
tcp	0.0.0.0:7100	7100	unknown	public_or_all_interfaces	unknown_public_should_review	close_or_place_behind_reverse_proxy	HIGH	evidence_only_no_firewall_change
tcp	0.0.0.0:8080	8080	cadvisor	public_or_all_interfaces	internal_should_not_public	private_network_or_loopback_or_reverse_proxy	HIGH	evidence_only_no_firewall_change
tcp	0.0.0.0:8002	8002	unknown	public_or_all_interfaces	unknown_public_should_review	close_or_place_behind_reverse_proxy	HIGH	evidence_only_no_firewall_change
tcp	0.0.0.0:8000	8000	unknown	public_or_all_interfaces	unknown_public_should_review	close_or_place_behind_reverse_proxy	HIGH	evidence_only_no_firewall_change
tcp	0.0.0.0:8001	8001	unknown	public_or_all_interfaces	unknown_public_should_review	close_or_place_behind_reverse_proxy	HIGH	evidence_only_no_firewall_change
tcp	0.0.0.0:4318	4318	unknown	public_or_all_interfaces	internal_should_not_public	private_network_or_loopback_or_reverse_proxy	HIGH	evidence_only_no_firewall_change
tcp	0.0.0.0:4317	4317	unknown	public_or_all_interfaces	internal_should_not_public	private_network_or_loopback_or_reverse_proxy	HIGH	evidence_only_no_firewall_change
tcp	0.0.0.0:4222	4222	nats	public_or_all_interfaces	internal_should_not_public	private_network_or_loopback_or_reverse_proxy	HIGH	evidence_only_no_firewall_change
tcp	0.0.0.0:4383	4383	unknown	public_or_all_interfaces	management_ssh_controlled	allowlist_key_auth_fail2ban	MEDIUM	evidence_only_no_firewall_change
tcp	0.0.0.0:5434	5434	postgres-replica-host	public_or_all_interfaces	internal_should_not_public	private_network_or_loopback_or_reverse_proxy	HIGH	evidence_only_no_firewall_change
tcp	0.0.0.0:5433	5433	postgres-host	public_or_all_interfaces	internal_should_not_public	private_network_or_loopback_or_reverse_proxy	HIGH	evidence_only_no_firewall_change
tcp	0.0.0.0:5880	5880	unknown	public_or_all_interfaces	unknown_public_should_review	close_or_place_behind_reverse_proxy	HIGH	evidence_only_no_firewall_change
