container_id	container_name	image	status	ports	restart_policy	user	network_mode	privileged	readonly_rootfs	healthcheck_present	mount_count	network_count	public_port_count	high_risk_public_port_count	risk	note
071251f0d6ec	pix2pi-redis	redis:7-alpine	Up 7 days	0.0.0.0:6379->6379/tcp, [::]:6379->6379/tcp	unless-stopped	unspecified	redis_default	false	false	NO	1	1	2	2	HIGH	high_risk_public_port_publish,container_user_unspecified,healthcheck_missing
0401d670c53a	pix2pi_pg_replica	postgres:16	Up 7 days	0.0.0.0:5434->5432/tcp, [::]:5434->5432/tcp	always	unspecified	dev_default	false	false	NO	1	1	2	2	HIGH	high_risk_public_port_publish,container_user_unspecified,healthcheck_missing
912824b41db5	pix2pi-mission-control	deploy-mission-control	Up 7 days	9001/tcp, 0.0.0.0:9101->5860/tcp, [::]:9101->5860/tcp	always	unspecified	deploy_pix2pi_net	false	false	NO	0	1	2	2	HIGH	high_risk_public_port_publish,container_user_unspecified,healthcheck_missing
0b5ee5a093fd	pix2pi-service-registry	deploy-service-registry	Up 7 days		always	unspecified	deploy_pix2pi_net	false	false	NO	0	0	0	0	LOW	container_user_unspecified,healthcheck_missing
b0fc06c89f01	pix2pi-identity-api	deploy-identity-api	Up 7 days	0.0.0.0:9002->9002/tcp, [::]:9002->9002/tcp	always	unspecified	deploy_pix2pi_net	false	false	NO	0	1	2	2	HIGH	high_risk_public_port_publish,container_user_unspecified,healthcheck_missing
13fb55c6fbef	pix2pi_grafana	grafana/grafana:latest	Up 7 days	0.0.0.0:3001->3000/tcp, [::]:3001->3000/tcp	unless-stopped	472	observability_pix2pi_observability	false	false	NO	2	1	2	2	HIGH	high_risk_public_port_publish,healthcheck_missing
f75ab57722be	pix2pi_promtail	grafana/promtail:2.9.8	Up 7 days		unless-stopped	0	observability_pix2pi_observability	false	false	NO	4	1	0	0	LOW	healthcheck_missing
005622bc3490	pix2pi_loki	grafana/loki:2.9.8	Up 7 days	0.0.0.0:3100->3100/tcp, [::]:3100->3100/tcp	unless-stopped	10001	observability_pix2pi_observability	false	false	NO	1	1	2	2	HIGH	high_risk_public_port_publish,healthcheck_missing
56f01afc9114	pix2pi_prometheus	prom/prometheus:latest	Up 7 days	0.0.0.0:9090->9090/tcp, [::]:9090->9090/tcp	unless-stopped	nobody	observability_pix2pi_observability	false	false	NO	2	1	2	2	HIGH	high_risk_public_port_publish,healthcheck_missing
eb265d384b83	pix2pi_node_exporter	prom/node-exporter:latest	Up 7 days	0.0.0.0:9100->9100/tcp, [::]:9100->9100/tcp	unless-stopped	nobody	observability_pix2pi_observability	false	false	NO	1	1	2	2	HIGH	high_risk_public_port_publish,healthcheck_missing
de27349184cd	pix2pi_nats	nats:2.10-alpine	Up 7 days	0.0.0.0:4222->4222/tcp, [::]:4222->4222/tcp, 0.0.0.0:8222->8222/tcp, [::]:8222->8222/tcp, 6222/tcp	unless-stopped	unspecified	nats_default	false	false	NO	1	1	4	4	HIGH	high_risk_public_port_publish,container_user_unspecified,healthcheck_missing
4c51b3e8a86f	pix2pi_tempo	grafana/tempo:2.6.1	Up 7 days	0.0.0.0:3200->3200/tcp, [::]:3200->3200/tcp, 0.0.0.0:4317-4318->4317-4318/tcp, [::]:4317-4318->4317-4318/tcp	always	10001:10001	pix2pi_observability	false	false	NO	2	1	2	2	HIGH	high_risk_public_port_publish,healthcheck_missing
eea2c0898f2e	pix2pi-api-gateway	kong:3.7	Up 7 days (healthy)		unless-stopped	kong	host	false	false	YES	1	1	0	0	HIGH	host_network_mode
caf8652c990a	pix2pi_pg	postgres:16	Up 42 hours	0.0.0.0:5433->5432/tcp, [::]:5433->5432/tcp	unless-stopped	unspecified	dev_default	false	false	NO	1	1	2	2	HIGH	high_risk_public_port_publish,container_user_unspecified,healthcheck_missing
abeb5a39998f	pix2pi_cadvisor	gcr.io/cadvisor/cadvisor:latest	Up 7 days (healthy)	0.0.0.0:8080->8080/tcp, [::]:8080->8080/tcp	always	unspecified	pix2pi_observability	true	false	YES	4	1	2	2	HIGH	high_risk_public_port_publish,privileged_container,container_user_unspecified
