volume_name	driver	scope	risk	note
0b3e13077ef45d29db2e726f6d71cf43d345b987e3ff8060d81d7281d684b75b	local	local	LOW	evidence_only
5bde35c8210f6b2dd646420d94bc5b36ebe5f63ef17d4abe135fdacc3c244656	local	local	LOW	evidence_only
06fd8bff5050d01b5c6481c8735d5908781f55a88762737d349c6a5e2d269108	local	local	LOW	evidence_only
8a102c83b2aa4ec86b6f69067280d408d94e5b040ad59acaaacef478d93c5142	local	local	LOW	evidence_only
9b8801f8c5e68d53b107d4caf43faf409a8d32b38a0db37db9cc89ee0c30b4f2	local	local	LOW	evidence_only
89e94c0f471d9b936315bb4759e79eb3dd5220d51a35924071beaf002eb0c114	local	local	LOW	evidence_only
137f54b4c4d9f6c90daa9cd9861d386993e4cffd233cad0d35122a485d4c6e67	local	local	LOW	evidence_only
677abcfaff8a9df03b2aacfd1b3664bf0e479231e17a3730bd2da736aec0375d	local	local	LOW	evidence_only
281677802d3463ca2506823ecc913439c010a7bb8fac4dec8f520f563b54f7b3	local	local	LOW	evidence_only
a5dee48518aa8915d17751124622d4a771a74fe4f6c8ace22c69133e80d857e4	local	local	LOW	evidence_only
api-gateway_pix2pi_kong_db	local	local	LOW	evidence_only
c106c29c158bdd42e140a8fc8c6e431153849106297fcb9f218f8f3b0e5b78d8	local	local	LOW	evidence_only
cf7a743af40d4ce8930d245087a49a970f7cff3be053debee7606752cd9a836a	local	local	LOW	evidence_only
d193be382c0009d312b8a8b21589510e4501fa3d2ff00fd7318e006678c6113b	local	local	LOW	evidence_only
dba0a2d1220dcc49e69e6b9d95a88f7b23ecbdb3d62f770765589ee261506083	local	local	LOW	evidence_only
ddf02171c429fa94a40799ccae406bed059631422fa418469a78d99abbf5c7bf	local	local	LOW	evidence_only
deploy_pgdata	local	local	MEDIUM	stateful_volume_retention_backup_review
deploy_postgres_data	local	local	MEDIUM	stateful_volume_retention_backup_review
dev_pix2pi_pg_data	local	local	MEDIUM	stateful_volume_retention_backup_review
e9d02e37f87a39ea822477b3c65abc7e2d1cc44f6d0feb40e95e32518aab143b	local	local	LOW	evidence_only
event-bus_pix2pi_nats_data	local	local	MEDIUM	stateful_volume_retention_backup_review
fd580772981b19847f9fdcd042ab33ae380a2f7c5689bb50f25df3c73924efc2	local	local	LOW	evidence_only
nats_pix2pi_nats_data	local	local	MEDIUM	stateful_volume_retention_backup_review
observability_grafana-storage	local	local	MEDIUM	stateful_volume_retention_backup_review
observability_pix2pi_loki_data	local	local	MEDIUM	stateful_volume_retention_backup_review
observability_pix2pi_tempo_data	local	local	MEDIUM	stateful_volume_retention_backup_review
pix2pi-data	local	local	LOW	evidence_only
pix2pi_grafana_data	local	local	MEDIUM	stateful_volume_retention_backup_review
redis_pix2pi_redis_data	local	local	MEDIUM	stateful_volume_retention_backup_review
redis_redis_data	local	local	MEDIUM	stateful_volume_retention_backup_review
root_pix2pi_pg_replica_data	local	local	MEDIUM	stateful_volume_retention_backup_review
