path	type	category	risk	retention_policy	size_bytes	age_days	note
backups	dir	backup_candidate	MEDIUM	review_old_backup	-1	0	backup_retention_review_no_delete
backups/20260412_221957	dir	backup_candidate	MEDIUM	review_old_backup	-1	16	backup_retention_review_no_delete
backups/20260412_221957/pix2pi-user-created-consumer.service	file	backup_candidate	MEDIUM	review_old_backup	311	16	backup_retention_review_no_delete
backups/20260412_221957/user_created_consumer_main.go	file	backup_candidate	MEDIUM	review_old_backup	5121	16	backup_retention_review_no_delete
backups/20260412_221957/user_created_consumer_main_test.go	file	backup_candidate	MEDIUM	review_old_backup	830	16	backup_retention_review_no_delete
backups/20260412_222738	dir	backup_candidate	MEDIUM	review_old_backup	-1	16	backup_retention_review_no_delete
backups/20260412_222738/pix2pi-user-created-consumer.service	file	backup_candidate	MEDIUM	review_old_backup	311	16	backup_retention_review_no_delete
backups/20260413_060342	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/20260413_071536	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/20260413_073103_step54a	dir	backup_candidate	MEDIUM	review_old_backup	-1	16	backup_retention_review_no_delete
backups/20260413_073535_step54b	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/20260413_step56b_ufk_unify	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/20260414_000238	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/20260414_000636	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/20260414_001756	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/20260414_002400	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/20260414_003032	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/20260414_003403	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/20260414_004013	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/20260414_004516	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/20260414_005304	dir	backup_candidate	MEDIUM	review_old_backup	-1	15	backup_retention_review_no_delete
backups/20260414_005304/ops_health_alert.sh	file	backup_candidate	MEDIUM	review_old_backup	964	15	backup_retention_review_no_delete
backups/20260414_005304/run_ops_health_daily.sh	file	backup_candidate	MEDIUM	review_old_backup	1719	15	backup_retention_review_no_delete
backups/20260414_010819	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/20260415_062308	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/20260415_072507	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/57u_20260415_074505	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/57x_20260415_081200	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/57z4_20260415_184725	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/57z4fix_20260415_191026	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/57z_20260415_083731	dir	backup_candidate	MEDIUM	review_old_backup	-1	14	backup_retention_review_no_delete
backups/57z_20260415_181855	dir	backup_candidate	MEDIUM	review_old_backup	-1	13	backup_retention_review_no_delete
backups/api-gateway	dir	backup_candidate	MEDIUM	review_old_backup	-1	45	backup_retention_review_no_delete,older_than_30d_review
backups/api_gateway_core	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/api_gateway_entry_check	dir	backup_candidate	MEDIUM	review_old_backup	-1	11	backup_retention_review_no_delete
backups/api_gateway_error	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/api_gateway_finish	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/api_gateway_health	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/api_gateway_internal_block_fix	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
