target_name	category	service_hint	host	port	path_or_state	risk_or_type	note
prometheus_ready	metrics_core	prometheus	127.0.0.1	9090	/-/ready	endpoint_target	metadata_only
prometheus_health	metrics_core	prometheus	127.0.0.1	9090	/-/healthy	endpoint_target	metadata_only
grafana_health_3000	dashboard	grafana	127.0.0.1	3000	/api/health	endpoint_target	metadata_only
grafana_health_3001	dashboard	grafana	127.0.0.1	3001	/api/health	endpoint_target	metadata_only
loki_ready	logs	loki	127.0.0.1	3100	/ready	endpoint_target	metadata_only
tempo_ready	traces	tempo	127.0.0.1	3200	/ready	endpoint_target	metadata_only
node_exporter_metrics	host_metrics	node_exporter	127.0.0.1	9100	/metrics	endpoint_target	metadata_only
cadvisor_health	container_metrics	cadvisor	127.0.0.1	8080	/healthz	endpoint_target	metadata_only
cadvisor_metrics	container_metrics	cadvisor	127.0.0.1	8080	/metrics	endpoint_target	metadata_only
nats_monitoring	event_bus_metrics	nats	127.0.0.1	8222	/healthz	endpoint_target	metadata_only
api_gateway_health	api_health	api_gateway	127.0.0.1	9010	/health	endpoint_target	metadata_only
identity_health	service_health	identity	127.0.0.1	9001	/health	endpoint_target	metadata_only
previous_port_8080	previous_runtime_port	cadvisor	previous_evidence	8080	public_or_all_interfaces	HIGH	from_20_3_runtime_service_ports
previous_port_4318	previous_runtime_port	unknown	previous_evidence	4318	public_or_all_interfaces	HIGH	from_20_3_runtime_service_ports
previous_port_4317	previous_runtime_port	unknown	previous_evidence	4317	public_or_all_interfaces	HIGH	from_20_3_runtime_service_ports
previous_port_3001	previous_runtime_port	unknown	previous_evidence	3001	public_or_all_interfaces	HIGH	from_20_3_runtime_service_ports
previous_port_3200	previous_runtime_port	unknown	previous_evidence	3200	public_or_all_interfaces	HIGH	from_20_3_runtime_service_ports
previous_port_3100	previous_runtime_port	unknown	previous_evidence	3100	public_or_all_interfaces	HIGH	from_20_3_runtime_service_ports
previous_port_8222	previous_runtime_port	unknown	previous_evidence	8222	public_or_all_interfaces	HIGH	from_20_3_runtime_service_ports
previous_port_9090	previous_runtime_port	prometheus	previous_evidence	9090	public_or_all_interfaces	HIGH	from_20_3_runtime_service_ports
previous_port_9100	previous_runtime_port	node-exporter	previous_evidence	9100	public_or_all_interfaces	HIGH	from_20_3_runtime_service_ports
previous_port_8080	previous_runtime_port	cadvisor	previous_evidence	8080	public_or_all_interfaces	HIGH	from_20_3_runtime_service_ports
previous_port_4318	previous_runtime_port	unknown	previous_evidence	4318	public_or_all_interfaces	HIGH	from_20_3_runtime_service_ports
previous_port_4317	previous_runtime_port	unknown	previous_evidence	4317	public_or_all_interfaces	HIGH	from_20_3_runtime_service_ports
previous_port_3001	previous_runtime_port	unknown	previous_evidence	3001	public_or_all_interfaces	HIGH	from_20_3_runtime_service_ports
previous_port_3200	previous_runtime_port	unknown	previous_evidence	3200	public_or_all_interfaces	HIGH	from_20_3_runtime_service_ports
previous_port_3100	previous_runtime_port	unknown	previous_evidence	3100	public_or_all_interfaces	HIGH	from_20_3_runtime_service_ports
previous_port_8222	previous_runtime_port	unknown	previous_evidence	8222	public_or_all_interfaces	HIGH	from_20_3_runtime_service_ports
previous_port_9090	previous_runtime_port	prometheus	previous_evidence	9090	public_or_all_interfaces	HIGH	from_20_3_runtime_service_ports
previous_port_9100	previous_runtime_port	node-exporter	previous_evidence	9100	public_or_all_interfaces	HIGH	from_20_3_runtime_service_ports
container_pix2pi-redis	previous_docker_container	pix2pi-redis	docker		Up 7 days	HIGH	from_20_5_docker_container_inventory
container_pix2pi_pg_replica	previous_docker_container	pix2pi_pg_replica	docker		Up 7 days	HIGH	from_20_5_docker_container_inventory
container_pix2pi_grafana	previous_docker_container	pix2pi_grafana	docker		Up 7 days	HIGH	from_20_5_docker_container_inventory
container_pix2pi_promtail	previous_docker_container	pix2pi_promtail	docker		Up 7 days	LOW	from_20_5_docker_container_inventory
container_pix2pi_loki	previous_docker_container	pix2pi_loki	docker		Up 7 days	HIGH	from_20_5_docker_container_inventory
container_pix2pi_prometheus	previous_docker_container	pix2pi_prometheus	docker		Up 7 days	HIGH	from_20_5_docker_container_inventory
container_pix2pi_node_exporter	previous_docker_container	pix2pi_node_exporter	docker		Up 7 days	HIGH	from_20_5_docker_container_inventory
container_pix2pi_nats	previous_docker_container	pix2pi_nats	docker		Up 7 days	HIGH	from_20_5_docker_container_inventory
container_pix2pi_tempo	previous_docker_container	pix2pi_tempo	docker		Up 7 days	HIGH	from_20_5_docker_container_inventory
container_pix2pi_pg	previous_docker_container	pix2pi_pg	docker		Up 42 hours	HIGH	from_20_5_docker_container_inventory
container_pix2pi_cadvisor	previous_docker_container	pix2pi_cadvisor	docker		Up 7 days (healthy)	HIGH	from_20_5_docker_container_inventory
