target_name	category	service_hint	host	port	path_or_endpoint	target_role	readiness_hint	note
prometheus_ready	metrics_core	prometheus	127.0.0.1	9090	/-/ready	scrape_controller	readiness	metadata_only
prometheus_healthy	metrics_core	prometheus	127.0.0.1	9090	/-/healthy	scrape_controller	health	metadata_only
prometheus_targets_api	metrics_core	prometheus	127.0.0.1	9090	/api/v1/targets	scrape_controller	target_metadata	metadata_only
node_exporter_metrics	host_metrics	node_exporter	127.0.0.1	9100	/metrics	direct_metrics_source	metrics_body_not_printed	metadata_only
cadvisor_health	container_metrics	cadvisor	127.0.0.1	8080	/healthz	direct_metrics_source	health	metadata_only
cadvisor_metrics	container_metrics	cadvisor	127.0.0.1	8080	/metrics	direct_metrics_source	metrics_body_not_printed	metadata_only
nats_healthz	event_bus_metrics	nats	127.0.0.1	8222	/healthz	scrape_candidate	health	metadata_only
nats_varz	event_bus_metrics	nats	127.0.0.1	8222	/varz	scrape_candidate	metadata_body_not_printed	metadata_only
api_gateway_health	service_health_scrape_candidate	api_gateway	127.0.0.1	9010	/health	service_health_source	health	metadata_only
identity_health	service_health_scrape_candidate	identity	127.0.0.1	9001	/health	service_health_source	health	metadata_only
prometheus_active_targets_metadata	prometheus_api	prometheus	127.0.0.1	9090	/api/v1/targets	scrape_target_metadata	active=2 up=2 down=0 unknown=0 pools=2	body_not_printed
previous_22_1_prometheus_ready	previous_22_1_target	prometheus	127.0.0.1	9090	/-/ready	endpoint_target	from_22_1_target_inventory	metadata_only
previous_22_1_prometheus_health	previous_22_1_target	prometheus	127.0.0.1	9090	/-/healthy	endpoint_target	from_22_1_target_inventory	metadata_only
previous_22_1_grafana_health_3000	previous_22_1_target	grafana	127.0.0.1	3000	/api/health	endpoint_target	from_22_1_target_inventory	metadata_only
previous_22_1_grafana_health_3001	previous_22_1_target	grafana	127.0.0.1	3001	/api/health	endpoint_target	from_22_1_target_inventory	metadata_only
previous_22_1_loki_ready	previous_22_1_target	loki	127.0.0.1	3100	/ready	endpoint_target	from_22_1_target_inventory	metadata_only
previous_22_1_tempo_ready	previous_22_1_target	tempo	127.0.0.1	3200	/ready	endpoint_target	from_22_1_target_inventory	metadata_only
previous_22_1_node_exporter_metrics	previous_22_1_target	node_exporter	127.0.0.1	9100	/metrics	endpoint_target	from_22_1_target_inventory	metadata_only
previous_22_1_cadvisor_health	previous_22_1_target	cadvisor	127.0.0.1	8080	/healthz	endpoint_target	from_22_1_target_inventory	metadata_only
previous_22_1_cadvisor_metrics	previous_22_1_target	cadvisor	127.0.0.1	8080	/metrics	endpoint_target	from_22_1_target_inventory	metadata_only
previous_22_1_nats_monitoring	previous_22_1_target	nats	127.0.0.1	8222	/healthz	endpoint_target	from_22_1_target_inventory	metadata_only
previous_22_1_api_gateway_health	previous_22_1_target	api_gateway	127.0.0.1	9010	/health	endpoint_target	from_22_1_target_inventory	metadata_only
previous_22_1_identity_health	previous_22_1_target	identity	127.0.0.1	9001	/health	endpoint_target	from_22_1_target_inventory	metadata_only
previous_22_1_previous_port_8080	previous_22_1_target	cadvisor	previous_evidence	8080	public_or_all_interfaces	HIGH	from_22_1_target_inventory	metadata_only
previous_22_1_previous_port_4318	previous_22_1_target	unknown	previous_evidence	4318	public_or_all_interfaces	HIGH	from_22_1_target_inventory	metadata_only
previous_22_1_previous_port_4317	previous_22_1_target	unknown	previous_evidence	4317	public_or_all_interfaces	HIGH	from_22_1_target_inventory	metadata_only
previous_22_1_previous_port_3001	previous_22_1_target	unknown	previous_evidence	3001	public_or_all_interfaces	HIGH	from_22_1_target_inventory	metadata_only
previous_22_1_previous_port_3200	previous_22_1_target	unknown	previous_evidence	3200	public_or_all_interfaces	HIGH	from_22_1_target_inventory	metadata_only
previous_22_1_previous_port_3100	previous_22_1_target	unknown	previous_evidence	3100	public_or_all_interfaces	HIGH	from_22_1_target_inventory	metadata_only
previous_22_1_previous_port_8222	previous_22_1_target	unknown	previous_evidence	8222	public_or_all_interfaces	HIGH	from_22_1_target_inventory	metadata_only
previous_22_1_previous_port_9090	previous_22_1_target	prometheus	previous_evidence	9090	public_or_all_interfaces	HIGH	from_22_1_target_inventory	metadata_only
previous_22_1_previous_port_9100	previous_22_1_target	node-exporter	previous_evidence	9100	public_or_all_interfaces	HIGH	from_22_1_target_inventory	metadata_only
previous_22_1_previous_port_8080	previous_22_1_target	cadvisor	previous_evidence	8080	public_or_all_interfaces	HIGH	from_22_1_target_inventory	metadata_only
previous_22_1_previous_port_4318	previous_22_1_target	unknown	previous_evidence	4318	public_or_all_interfaces	HIGH	from_22_1_target_inventory	metadata_only
previous_22_1_previous_port_4317	previous_22_1_target	unknown	previous_evidence	4317	public_or_all_interfaces	HIGH	from_22_1_target_inventory	metadata_only
