source_type	source_name	image_or_category	status_or_active_state	log_driver_or_source	healthcheck_or_unknown	restart_policy	risk	note
docker_container	pix2pi-redis	redis:7-alpine	Up 7 days	unknown	NO	unless-stopped	HIGH	from_20_5_container_inventory_log_source_candidate
docker_container	pix2pi_pg_replica	postgres:16	Up 7 days	unknown	NO	always	HIGH	from_20_5_container_inventory_log_source_candidate
docker_container	pix2pi-mission-control	deploy-mission-control	Up 7 days	unknown	NO	always	HIGH	from_20_5_container_inventory_log_source_candidate
docker_container	pix2pi-service-registry	deploy-service-registry	Up 7 days	unknown	NO	always	LOW	from_20_5_container_inventory_log_source_candidate
docker_container	pix2pi-identity-api	deploy-identity-api	Up 7 days	unknown	NO	always	HIGH	from_20_5_container_inventory_log_source_candidate
docker_container	pix2pi_grafana	grafana/grafana:latest	Up 7 days	unknown	NO	unless-stopped	HIGH	from_20_5_container_inventory_log_source_candidate
docker_container	pix2pi_promtail	grafana/promtail:2.9.8	Up 7 days	unknown	NO	unless-stopped	LOW	from_20_5_container_inventory_log_source_candidate
docker_container	pix2pi_loki	grafana/loki:2.9.8	Up 7 days	unknown	NO	unless-stopped	HIGH	from_20_5_container_inventory_log_source_candidate
docker_container	pix2pi_prometheus	prom/prometheus:latest	Up 7 days	unknown	NO	unless-stopped	HIGH	from_20_5_container_inventory_log_source_candidate
docker_container	pix2pi_node_exporter	prom/node-exporter:latest	Up 7 days	unknown	NO	unless-stopped	HIGH	from_20_5_container_inventory_log_source_candidate
docker_container	pix2pi_nats	nats:2.10-alpine	Up 7 days	unknown	NO	unless-stopped	HIGH	from_20_5_container_inventory_log_source_candidate
docker_container	pix2pi_tempo	grafana/tempo:2.6.1	Up 7 days	unknown	NO	always	HIGH	from_20_5_container_inventory_log_source_candidate
docker_container	pix2pi-api-gateway	kong:3.7	Up 7 days (healthy)	unknown	YES	unless-stopped	HIGH	from_20_5_container_inventory_log_source_candidate
docker_container	pix2pi_pg	postgres:16	Up 42 hours	unknown	NO	unless-stopped	HIGH	from_20_5_container_inventory_log_source_candidate
